strain	sex	age	avg	min	max
A/J	F	21	8	6	10.8
A/J	F	42	15	13	17.8
A/J	F	56	17	14.1	19.9
A/J	F	84	19	16.5	21.6
A/J	M	21	10	7.9	13.9
A/J	M	42	17	14.8	19.7
A/J	M	56	20	18	22.8
A/J	M	84	24	21.1	26.6
B6D2F1	F	21	9	5	10
B6D2F1	F	42	19	16	22
B6D2F1	F	56	21	20	24
B6D2F1	F	84	23	20	25
B6D2F1	M	21	9	6	12
B6D2F1	M	42	22	20	27
B6D2F1	M	56	26	24	28
B6D2F1	M	84	30	24	34
BALB/c	F	21	9	8	10
BALB/c	F	42	15	11	20
BALB/c	F	56	17	14	21
BALB/c	F	84	23	21	25.3
BALB/c	M	21	10	9	11
BALB/c	M	42	19	15	21
BALB/c	M	56	21	18	24
BALB/c	M	84	29	26.5	32
C3H/HeJ	F	21	9	5.9	11.1
C3H/HeJ	F	42	16	14.3	17.8
C3H/HeJ	F	56	17	14.7	19.5
C3H/HeJ	F	84	31	26.5	33.5
C3H/HeJ	M	21	7	7.3	12.6
C3H/HeJ	M	42	19	16.5	22.1
C3H/HeJ	M	56	22	19.9	25.6
C3H/HeJ	M	84	32	24	37.3
C57BL/6J	F	21	7	6	10
C57BL/6J	F	42	16	15	18
C57BL/6J	F	56	18	16	19
C57BL/6J	F	84	23	18.5	30.7
C57BL/6J	M	21	8	6	10
C57BL/6J	M	42	19	16	21
C57BL/6J	M	56	23	21	25
C57BL/6J	M	84	25	19.6	31
CBA/CaH	F	21	8	6.2	8.6
CBA/CaH	F	42	17	13.1	19.1
CBA/CaH	F	56	18	16	19.1
CBA/CaH	F	84	27	21	30
CBA/CaH	M	21	8	6.3	9.5
CBA/CaH	M	42	20	17.5	22.2
CBA/CaH	M	56	22	20	24.4
CBA/CaH	M	84	31	22	34
DBA/2	F	21	9	7.2	10.6
DBA/2	F	42	18	12.1	20.1
DBA/2	F	56	20	15.5	22.2
DBA/2	F	84	25	20	31.4
DBA/2	M	21	9	6.8	11
DBA/2	M	42	21	12.9	24.4
DBA/2	M	56	24	14.8	28.8
DBA/2	M	84	27	19.7	31.6
SJL/J	F	21	10	7.5	12.8
SJL/J	F	42	16	15	17.7
SJL/J	F	56	18	16	20.3
SJL/J	F	84	25	18	27.5
SJL/J	M	21	12	7.6	16
SJL/J	M	42	19	16	21
SJL/J	M	56	20	17.7	22.6
SJL/J	M	84	28	24.5	31.5
