Strain	Sex	21 DAYS	42 DAYS	56 DAYS	84 DAYS
MICE		AV	RANGE (g)	AV	RANGE (g)	AV	RANGE (g)	AV	RANGE (g)
A/J	M	10	7.9 - 13.9	17	14.8 - 19.7	20	18.0 - 22.8	24	21.1 - 26.6
	F	8	6.0 - 10.8	15	13.0 - 17.8	17	14.1 - 19.9	19	16.5 - 21.6
BALB/c	M	10	9.0 - 11.0	19	15.0 - 21.0	21	18.0 - 24.0	29	26.5 - 32.0
	F	9	8.0 - 10.0	15	11 - 20	17	14.0 - 21.0	23	21.0 - 25.3
CBA/CaH	M	8	6.3 - 9.5	20	17.5 - 22.2	22	20.0 - 24.4	31	22.0 - 34.0
	F	8	6.2 - 8.6	17	13.1 - 19.1	18	16.0 - 19.1	27	21.0 - 30.0
C57BL/6J	M	8	6.0 - 10.0	19	16.0 - 21.0	23	21.0 - 25.0	25	19.6 - 31.0
	F	7	6.0 - 10.0	16	15.0 - 18.0	18	16.0 - 19.0	23	18.5 - 30.7
C3H/HeJ	M	7	7.3 - 12.6	19	16.5 - 22.1	22	19.9 - 25.6	32	24.0 - 37.3
	F	9	5.9 - 11.1	16	14.3 - 17.8	17	14.7 - 19.5	31	26.5 - 33.5
DBA/2	M	9	6.8 - 11.0	21	12.9 - 24.4	24	14.8 - 28.8	27	19.7 - 31.6
	F	9	7.2 - 10.6	18	12.1 - 20.1	20	15.5 - 22.2	25	20.0 - 31.4
SJL/J	M	12	7.6 - 16.0	19	16.0 - 21.0	20	17.7 - 22.6	28	24.5 - 31.5
	F	10	7.5 - 12.8	16	15.0 - 17.7	18	16.0 - 20.3	25	18.0 - 27.5
B6D2F1	M	9	6.0 - 12.0	22	20.0 - 27.0	26	24.0 - 28.0	30	24.0 - 34.0
	F	9	5.0 - 10.0	19	16.0 - 22.0	21	20.0 - 24.0	23	20.0 - 25.0
