# author: ****
# date: ****
# version: ***
Position;sample1;sample2;sample3
-2000;2,189818555;3,152542621;4,030951297
-1990;2,146880936;3,078666003;4,161128812
-1980;2,137546671;3,054514031;4,269458352
-1970;2,122611847;3,168170367;4,347746928
-1960;2,141280377;3,105659383;4,462448794
-1950;2,14314723;3,144018396;4,536185708
-1940;2,178617437;3,202267268;4,680928539
-1930;2,105810171;3,249150507;4,69731452
-1920;2,096475906;3,293192337;4,743741466
-1910;2,0927422;3,377013885;4,789258079
-1900;2,083407935;3,384117406;4,779244424
-1890;2,053538287;3,38553811;4,783796086
-1880;2,100209612;3,463676841;4,751934456
-1870;2,115144435;3,520505009;4,706417843
-1860;2,081541082;3,487828812;4,762858443
-1850;2,100209612;3,577333177;4,698224852
-1840;2,109543877;3,614271486;4,666363223
-1830;2,115144435;3,592960923;4,624487938
-1820;2,090875347;3,645526979;4,662721893
-1810;2,122611847;3,676782471;4,621756941
-1800;2,1244787;3,631319937;4,738279472
-1790;2,135679818;3,627057824;4,811106054
-1780;2,154348348;3,654051204;4,813837051
-1770;2,111410729;3,627057824;4,818388712
-1760;2,115144435;3,637002754;4,746472462
-1750;2,100209612;3,595802332;4,715521165
-1740;2,148747789;3,519084305;4,758306782
-1730;2,133812965;3,499194446;4,708238507
-1720;2,156215201;3,47362177;4,731907146
-1710;2,154348348;3,47362177;4,721893491
-1700;2,131946112;3,445207686;4,688211197
-1690;2,1244787;3,51056008;4,680928539
-1680;2,117011288;3,531870643;4,673645881
-1670;2,057271993;3,534712051;4,676376878
-1660;2,083407935;3,564546839;4,754665453
-1650;2,178617437;3,58159529;4,870277651
-1640;2,212220791;3,60858867;4,991351843
-1630;2,230889321;3,735031343;5,039599454
-1620;2,258892116;3,739293456;5,067819754
-1610;2,279427498;3,777652469;5,190714611
-1600;2,251424704;3,754921202;5,233500228
-1590;2,242090439;3,79470092;5,333636777
-1580;2,258892116;3,752079794;5,367319071
-1570;2,258892116;3,804645849;5,515703232
-1560;2,229022468;3,787597399;5,502048248
-1550;2,234623027;3,791859511;5,489303596
-1540;2,273826939;3,845846271;5,540282203
-1530;2,298096028;3,88278458;5,534820209
-1520;2,294362322;3,807487258;5,62312244
-1510;2,26822638;3,905515847;5,69139736
-1500;2,271960086;3,956661199;5,743286299
-1490;2,288761763;3,919722889;5,727810651
-1480;2,277560645;3,914040073;5,740555303
-1470;2,313030852;3,895570918;5,77969959
-1460;2,281294351;3,915460777;5,81975421
-1450;2,240223586;3,912619368;5,856167501
-1440;2,178617437;3,93677134;5,906235776
-1430;2,176750584;3,896991622;5,904415112
-1420;2,215954497;3,816011483;5,940828402
-1410;2,23648988;3,834480637;5,897132453
-1400;2,25515841;3,779073174;5,814292217
-1390;2,294362322;3,763445427;5,89167046
-1380;2,257025263;3,760604019;5,798816568
-1370;2,193552261;3,710879372;5,746017296
-1360;2,18048429;3,730769231;5,71142467
-1350;2,165549466;3,716562189;5,664997724
-1340;2,117011288;3,72366571;5,565771507
-1330;2,096475906;3,733610639;5,515703232
-1320;2,100209612;3,733610639;5,470186618
-1310;2,090875347;3,844425567;5,417387346
-1300;2,096475906;3,803225145;5,340009103
-1290;2,156215201;3,816011483;5,351843423
-1280;2,165549466;3,800383737;5,28265817
-1270;2,156215201;3,835901342;5,329085116
-1260;2,120744994;3,867156834;5,391898043
-1250;2,094609053;3,864315426;5,400091033
-1240;2,141280377;3,86573613;5,430131998
-1230;2,171150025;3,919722889;5,516613564
-1220;2,19915282;3,868577538;5,575785162
-1210;2,230889321;3,869998242;5,577605826
-1200;2,23648988;3,895570918;5,650432408
-1190;2,240223586;3,888467397;5,694128357
-1180;2,232756174;3,908357256;5,758761948
-1170;2,26822638;3,95381979;5,83158853
-1160;2,335433088;3,990758099;5,802457897
-1150;2,311163999;4,047586268;5,774237597
-1140;2,316764558;4,102993731;5,832498862
